case_id,system,source_type,modification_type,pack_size_category,selected_mod_count,expected_repairable,initial_status,solver_status,issue_types,action_types,final_compatible,repair_success,total_cost,preservation_rate,removed_mod_count,runtime_seconds,runtime_minimum_seconds,runtime_maximum_seconds,runtime_samples_seconds,states_expanded,explanation_complete,passed,failure_category
synthetic-tie-breaking,baseline,synthetic,none,small,2,True,incompatible,solution_found,hard_conflict,remove_mod,True,True,10,0.5,1,0.00020770000264747068,0.00015329999587265775,0.00024569999368395656,0.00020770000264747068;0.00024569999368395656;0.00015329999587265775,0,False,True,
synthetic-tie-breaking,weighted_default,synthetic,none,small,2,True,incompatible,solution_found,hard_conflict,upgrade_mod,True,True,4,1.0,0,0.0007554999974672683,0.0007553999967058189,0.0007799000013619661,0.0007799000013619661;0.0007553999967058189;0.0007554999974672683,5,True,True,
synthetic-tie-breaking,weighted_preservation,synthetic,none,small,2,True,incompatible,solution_found,hard_conflict,upgrade_mod,True,True,5,1.0,0,0.000763899995945394,0.0007619000025442801,0.0007689999983995222,0.0007689999983995222;0.000763899995945394;0.0007619000025442801,5,True,True,
synthetic-chain-missing,baseline,synthetic,none,small,2,True,incompatible,solution_found,missing_dependency,add_dependency,True,True,1,1.0,0,0.0001827000014600344,0.00017610000213608146,0.00019120000069960952,0.00017610000213608146;0.0001827000014600344;0.00019120000069960952,0,False,True,
synthetic-chain-missing,weighted_default,synthetic,none,small,2,True,incompatible,solution_found,missing_dependency,add_dependency,True,True,1,1.0,0,0.0005707000018446706,0.0003966000003856607,0.0007499999992433004,0.0003966000003856607;0.0005707000018446706;0.0007499999992433004,2,True,True,
synthetic-chain-missing,weighted_preservation,synthetic,none,small,2,True,incompatible,solution_found,missing_dependency,add_dependency,True,True,1,1.0,0,0.0004343999971752055,0.00041339999734191224,0.0004417000018293038,0.0004417000018293038;0.0004343999971752055;0.00041339999734191224,2,True,True,
synthetic-chain-valid,baseline,synthetic,none,small,3,False,compatible,already_compatible,,,True,False,0,1.0,0,0.00015770000027259812,0.00014899999951012433,0.0009776000006240793,0.00014899999951012433;0.00015770000027259812;0.0009776000006240793,0,False,True,
synthetic-chain-valid,weighted_default,synthetic,none,small,3,False,compatible,already_compatible,,,True,False,0,1.0,0,0.00023939999664435163,0.0002310999989276752,0.0002583999958005734,0.0002583999958005734;0.00023939999664435163;0.0002310999989276752,0,True,True,
synthetic-chain-valid,weighted_preservation,synthetic,none,small,3,False,compatible,already_compatible,,,True,False,0,1.0,0,0.000225800002226606,0.0002243999988422729,0.000229199999012053,0.0002243999988422729;0.000225800002226606;0.000229199999012053,0,True,True,
synthetic-combined-missing-conflict,baseline,synthetic,none,small,3,True,incompatible,solution_found,missing_dependency;hard_conflict,add_dependency;remove_mod,True,True,11,0.6666666666666666,1,0.00025769999774638563,0.00023610000062035397,0.00038689999928465113,0.00038689999928465113;0.00025769999774638563;0.00023610000062035397,0,False,True,
synthetic-combined-missing-conflict,weighted_default,synthetic,none,small,3,True,incompatible,solution_found,missing_dependency;hard_conflict,add_dependency;remove_mod,True,True,11,0.6666666666666666,1,0.0023897999999462627,0.0023416000040015206,0.00258649999886984,0.0023897999999462627;0.0023416000040015206;0.00258649999886984,10,True,True,
synthetic-combined-missing-conflict,weighted_preservation,synthetic,none,small,3,True,incompatible,solution_found,missing_dependency;hard_conflict,add_dependency;remove_mod,True,True,21,0.6666666666666666,1,0.00300989999959711,0.0021931000010226853,0.0033287000042037107,0.0021931000010226853;0.0033287000042037107;0.00300989999959711,10,True,True,
synthetic-multiple-missing,baseline,synthetic,none,small,1,True,incompatible,solution_found,missing_dependency,add_dependency,True,True,2,1.0,0,0.00023049999435897917,0.0002150999935111031,0.0003971999976783991,0.0003971999976783991;0.00023049999435897917;0.0002150999935111031,0,False,True,
synthetic-multiple-missing,weighted_default,synthetic,none,small,1,True,incompatible,solution_found,missing_dependency,add_dependency,True,True,2,1.0,0,0.000778499997977633,0.0007536999983130954,0.0008793000015430152,0.000778499997977633;0.0007536999983130954;0.0008793000015430152,4,True,True,
synthetic-multiple-missing,weighted_preservation,synthetic,none,small,1,True,incompatible,solution_found,missing_dependency,add_dependency,True,True,2,1.0,0,0.0006906999988132156,0.0006906000053277239,0.0007298999989870936,0.0006906999988132156;0.0006906000053277239;0.0007298999989870936,4,True,True,
